state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
16000000	0.6025	1.7357	0.3518	0.3536	2.3462	0.6101	0.6820	0.4656	0.1884	0.1827	0.1632	4.8431E-3	1.2268E-3	4.8758E-3	0.2520	4.2279E-2	2.136	75.713	25639.822
17000000	0.5723	1.6680	0.3500	0.3659	2.4546	0.5892	0.6735	0.4718	0.1836	0.1849	0.1597	4.8732E-3	1.2426E-3	4.8753E-3	0.2526	-2.3085E-2	1.191	73.162	26047.528
18000000	0.5705	1.6066	0.3559	0.3538	2.4724	0.6408	0.6727	0.4720	0.1880	0.1865	0.1534	4.9867E-3	1.1597E-3	4.9601E-3	0.2347	2.3755E-2	2.556	71.036	25489.146
19000000	0.5675	1.6610	0.3468	0.3656	2.4444	0.6145	0.6722	0.4747	0.1862	0.1815	0.1577	4.9534E-3	1.2611E-3	4.9445E-3	0.2631	2.2939E-2	2.460	67.336	25637.584
20000000	0.5743	1.6438	0.3780	0.3592	2.4509	0.5939	0.6693	0.4639	0.1912	0.1840	0.1609	4.8474E-3	1.1639E-3	4.8115E-3	0.2428	1.3389E-3	1.571	72.676	26066.270
21000000	0.5656	1.6932	0.3570	0.3470	2.4035	0.6336	0.6652	0.4724	0.1900	0.1807	0.1568	4.7681E-3	1.1024E-3	4.7736E-3	0.2324	9.733E-3	3.844	74.123	26972.430
22000000	0.5850	1.7121	0.3702	0.3520	2.4012	0.5796	0.6851	0.4706	0.1900	0.1813	0.1581	4.6977E-3	1.1026E-3	4.6925E-3	0.2296	-5.9204E-3	2.580	74.495	27074.397
23000000	0.6000	1.7258	0.3438	0.3488	2.3837	0.5978	0.6951	0.4668	0.1851	0.1827	0.1653	4.5114E-3	1.1128E-3	4.5102E-3	0.2471	-9.1609E-3	2.388	81.781	27791.292
24000000	0.5677	1.6472	0.3600	0.3397	2.4602	0.6252	0.6681	0.4753	0.1852	0.1870	0.1526	4.7676E-3	1.2489E-3	4.7526E-3	0.2572	2.1328E-2	1.246	70.580	26505.755
25000000	0.5694	1.6189	0.3714	0.3511	2.4643	0.6250	0.6780	0.4751	0.1856	0.1847	0.1546	4.8934E-3	1.2396E-3	4.8775E-3	0.2516	9.9383E-3	3.049	74.600	25800.141
26000000	0.5944	1.6657	0.3713	0.3487	2.4408	0.5792	0.6627	0.4692	0.1829	0.1865	0.1614	4.8193E-3	1.1653E-3	4.85E-3	0.2481	-1.0231E-2	3.043	71.011	25895.997
27000000	0.5689	1.6054	0.3910	0.3465	2.4694	0.6188	0.6747	0.4742	0.1821	0.1917	0.1520	4.9335E-3	1.1493E-3	4.9049E-3	0.2318	4.2432E-2	2.657	73.074	26118.704
