state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20
110000000	-0.977	-0.503	-0.050	1.874	1.684	1.959	1.062	-0.518	0.474	1.642	0.376	-1.815	-3.181	-1.727	-1.707	-4.331	-3.961	-5.990	-7.245	-7.520
111000000	2.153	-0.637	0.392	2.003	1.669	1.593	0.764	-0.843	1.004	0.052	1.292	-1.181	-2.092	-0.770	-2.610	-4.874	-3.898	-2.792	-2.759	-4.229
112000000	-0.916	-1.002	0.256	1.749	1.784	1.499	0.529	-0.621	0.538	0.053	0.932	-2.388	-2.736	-1.406	-3.716	-2.739	-4.142	-4.572	-6.540	-8.009
113000000	-0.217	-0.525	0.046	1.539	1.325	2.161	0.341	-0.752	0.292	0.388	0.451	-1.604	-2.759	-2.072	-2.021	-2.742	-1.374	-1.854	-1.879	-2.268
114000000	0.858	0.014	0.426	1.388	1.909	1.605	0.637	-0.389	0.689	1.005	0.323	-1.621	-2.045	-3.244	-4.431	-4.573	-3.705	-3.699	-4.419	-3.232
115000000	0.632	-0.888	0.025	2.097	1.387	1.694	0.632	-0.822	1.534	-0.058	0.043	-1.242	-2.827	-2.380	-4.171	-3.033	-6.306	-7.500	-5.610	-2.572
116000000	0.343	-0.435	0.136	2.189	1.495	1.902	0.627	0.111	-0.113	1.213	0.584	-1.619	-3.232	-3.271	-2.904	-3.469	-3.864	-3.185	-3.694	-2.800
117000000	0.426	-1.322	-0.358	2.505	1.525	2.028	0.678	-0.575	0.734	1.191	0.159	-2.364	-2.441	-2.408	-3.364	-3.953	-4.043	-3.704	-4.447	-5.598
118000000	0.361	-0.222	-0.126	1.663	1.659	1.471	0.470	-0.489	0.558	0.093	-0.076	-1.494	-3.098	-1.923	-5.500	-7.281	-5.198	-6.751	-6.138	-8.886
119000000	0.141	-0.410	0.419	1.698	1.495	1.502	0.509	-0.382	0.087	0.820	-0.043	-1.284	-2.881	-4.002	-3.778	-3.568	-5.400	-4.560	-3.172	-4.455
120000000	0.514	-0.976	0.680	1.534	1.758	1.638	0.442	-0.151	-0.028	0.459	0.337	-0.908	-2.156	-3.525	-4.188	-3.239	-2.726	-2.233	-1.310	-0.317
121000000	0.865	-1.094	0.101	1.647	1.491	1.747	0.087	-0.514	-0.107	0.467	0.426	-1.374	-2.979	-4.539	-4.045	-4.537	-4.490	-3.681	-6.631	-5.450
122000000	1.961	-0.809	0.009	1.911	1.568	2.045	0.192	-0.243	0.418	0.514	-0.106	-2.159	-2.561	-1.886	-3.895	-2.317	-4.179	-4.724	-3.824	-2.333
123000000	-0.188	-1.194	0.056	2.558	1.622	2.346	0.325	-0.221	0.711	0.996	1.131	-2.544	-2.124	-0.003	-4.484	-3.323	-2.170	-0.946	-2.404	-7.068
124000000	-0.395	-1.311	0.370	1.751	1.392	1.413	0.246	-0.529	0.488	0.405	0.383	-2.006	-1.009	-1.425	-4.456	-3.542	-0.760	0.451	1.680	1.400
125000000	0.869	-1.282	0.350	1.710	1.451	2.272	0.045	-0.571	1.664	-0.070	0.989	-1.307	-2.624	-1.914	-4.510	-5.028	-8.721	-11.892	-12.717	-12.369
126000000	0.024	-1.547	0.288	1.833	1.363	1.967	0.305	-0.762	1.102	0.169	0.246	-1.832	-2.549	-2.047	-2.074	-2.050	-3.080	-2.734	-2.513	-3.591
127000000	0.053	-0.184	0.199	1.924	1.673	2.028	0.634	-0.140	0.063	1.039	0.427	-2.663	-3.373	-1.480	-5.138	-9.098	-7.833	-6.733	-7.586	-5.625
128000000	1.338	-1.439	0.728	1.419	1.753	1.908	0.552	-0.376	-0.257	1.202	-0.363	-2.170	-2.736	-1.939	-3.639	-2.296	-2.368	0.427	1.407	1.180
129000000	0.804	-0.982	0.376	1.872	1.673	1.493	0.415	-0.563	0.859	1.207	0.327	-1.458	-3.421	-2.696	-3.369	-4.401	-4.819	-5.228	-2.238	-2.072
130000000	1.987	-0.451	0.156	1.595	1.351	1.789	0.306	-0.430	0.735	0.316	-0.248	-2.235	-3.155	-1.127	-1.737	-1.236	-1.578	-2.375	2.128	4.534
131000000	0.949	-0.884	0.193	1.757	1.633	1.482	0.397	-0.765	0.551	0.547	0.147	-3.256	-3.577	-2.227	-0.530	0.595	2.160	2.397	2.963	3.229
132000000	3.013	-0.986	0.438	2.450	1.537	2.002	0.700	-0.481	0.979	0.087	0.506	-1.289	-2.605	-2.427	-2.883	-2.306	-2.528	0.491	-1.495	1.939
133000000	0.446	-0.529	0.190	1.794	1.691	1.811	0.418	0.018	-0.466	0.951	-0.270	-1.583	-3.050	-1.775	-2.166	-2.294	-1.789	-1.500	-2.428	-1.830
134000000	1.318	-1.029	-0.164	2.586	1.511	2.034	0.307	-0.078	0.329	1.396	0.886	-1.878	-2.856	-2.295	-3.357	-7.966	-7.875	-8.293	-6.934	-8.365
