state	kappa	alpha	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
233000000	4.3530	0.1524	0.2650	0.1685	0.1756	0.3909	6.7993E-4	0.736	0.899	347.253
234000000	4.5456	0.1511	0.2656	0.1701	0.1760	0.3883	6.4358E-4	0.675	0.949	358.578
235000000	4.6491	0.1465	0.2650	0.1651	0.1734	0.3966	6.4387E-4	0.619	0.864	355.377
236000000	4.3328	0.1411	0.2684	0.1692	0.1759	0.3865	6.6114E-4	0.493	0.957	361.112
237000000	4.1673	0.1412	0.2637	0.1713	0.1761	0.3890	6.5186E-4	0.408	0.870	357.303
238000000	4.3969	0.1536	0.2658	0.1655	0.1789	0.3899	6.3887E-4	0.790	0.813	361.611
239000000	4.2922	0.1434	0.2635	0.1680	0.1765	0.3920	6.7043E-4	0.850	0.787	357.488
240000000	4.4166	0.1546	0.2659	0.1669	0.1770	0.3902	6.7566E-4	1.181	0.806	356.206
241000000	4.2518	0.1468	0.2675	0.1704	0.1746	0.3875	6.7565E-4	0.200	0.800	352.540
242000000	4.3549	0.1514	0.2613	0.1691	0.1773	0.3923	6.7054E-4	0.218	0.842	354.350
243000000	4.2352	0.1599	0.2639	0.1687	0.1761	0.3913	6.6488E-4	0.602	0.879	353.180
244000000	4.2325	0.1475	0.2695	0.1687	0.1754	0.3864	6.5626E-4	0.352	0.802	348.483
245000000	4.3025	0.1518	0.2654	0.1707	0.1760	0.3879	6.8925E-4	0.657	0.879	346.851
246000000	4.5104	0.1554	0.2632	0.1734	0.1750	0.3884	6.6649E-4	1.463	1.072	352.020
247000000	4.2181	0.1483	0.2668	0.1679	0.1749	0.3904	6.7481E-4	0.906	0.839	349.818
248000000	4.3644	0.1461	0.2616	0.1711	0.1775	0.3898	6.8387E-4	0.390	0.805	349.467
249000000	4.2356	0.1462	0.2652	0.1694	0.1745	0.3909	6.6782E-4	0.517	1.090	350.265
250000000	4.4448	0.1450	0.2643	0.1708	0.1701	0.3947	6.4255E-4	0.564	0.851	357.302
251000000	4.2837	0.1535	0.2651	0.1692	0.1770	0.3888	6.574E-4	0.691	0.816	346.366
252000000	4.2855	0.1541	0.2601	0.1680	0.1768	0.3951	6.5423E-4	0.461	0.875	352.928
253000000	4.4546	0.1504	0.2644	0.1685	0.1778	0.3893	6.5238E-4	0.316	0.936	355.248
254000000	4.3724	0.1375	0.2619	0.1697	0.1756	0.3928	6.7184E-4	0.670	0.985	350.843
