state	cp12.kappa	cp3.kappa	cp12.alpha	cp3.alpha	cp12.mu	cp3.mu	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
25000000	6.593	6.828	9.2312E-2	3.6228E-2	0.9095	1.1811	0.3156	0.2296	0.2023	0.2525	0.3061	0.2175	0.2319	0.2444	8.7953E-4	8.1349E-4	8.09E-4	0.8647	3.2405E-2	4.330	1.761	27.419
26000000	8.055	8.995	5.7669E-2	0.4711	0.9745	1.0509	0.3144	0.2271	0.1988	0.2597	0.2900	0.2231	0.2309	0.2561	8.158E-4	8.0761E-4	8.0912E-4	0.9379	-2.9948E-2	2.208	1.798	27.264
27000000	9.214	8.267	7.5044E-2	0.2646	0.9476	1.1049	0.3130	0.2317	0.1960	0.2593	0.2948	0.2159	0.2439	0.2455	7.5437E-4	4.4218E-4	7.4086E-4	0.5711	-8.0447E-2	1.522	1.734	29.272
28000000	7.782	8.798	3.8601E-2	0.9212	0.9596	1.0809	0.3150	0.2245	0.2036	0.2569	0.2937	0.2282	0.2262	0.2520	9.8035E-4	7.3689E-4	8.2844E-4	0.7147	-1.236E-2	1.119	1.598	26.800
29000000	6.128	9.715	7.0401E-2	0.6396	0.8468	1.3065	0.3173	0.2296	0.1977	0.2553	0.2965	0.2128	0.2325	0.2582	9.4346E-4	8.3946E-4	8.534E-4	0.8238	4.2731E-2	1.405	1.644	27.779
30000000	10.086	11.599	0.1159	0.2178	0.9499	1.1002	0.3191	0.2252	0.2055	0.2502	0.2943	0.2263	0.2313	0.2481	9.5024E-4	6.5256E-4	8.8366E-4	0.7096	5.5892E-2	0.484	1.640	27.554
31000000	8.681	9.036	1.8099E-2	0.7071	0.9626	1.0749	0.3128	0.2283	0.2059	0.2530	0.2982	0.2255	0.2324	0.2439	8.378E-4	4.7531E-4	8.2259E-4	0.5947	-9.7104E-3	1.977	1.582	27.804
32000000	7.853	9.675	6.3492E-2	1.0981	0.9509	1.0982	0.3221	0.2246	0.1935	0.2598	0.2866	0.2222	0.2411	0.2501	9.74E-4	6.5298E-4	8.7567E-4	0.6599	-1.8308E-2	2.403	1.584	25.900
33000000	10.126	6.721	3.8919E-2	0.1071	0.9062	1.1876	0.3147	0.2313	0.1968	0.2572	0.3007	0.2226	0.2301	0.2467	8.1498E-4	4.8148E-4	7.7057E-4	0.5828	-4.8681E-2	0.455	1.779	28.287
34000000	10.997	5.971	1.2669E-2	0.7780	0.9038	1.1924	0.3159	0.2274	0.1952	0.2615	0.2957	0.2197	0.2293	0.2553	1.0923E-3	5.8402E-4	1.03E-3	0.5277	-8.9993E-2	5.226	1.675	25.031
35000000	9.288	7.690	7.0253E-3	0.4753	0.9053	1.1893	0.3167	0.2252	0.2023	0.2559	0.2976	0.2206	0.2344	0.2473	9.5838E-4	9.8692E-4	8.4808E-4	0.9938	2.4159E-2	0.918	1.615	28.286
36000000	10.924	9.056	6.3272E-3	0.2313	0.9371	1.1259	0.3169	0.2349	0.1971	0.2511	0.2974	0.2258	0.2253	0.2515	8.3459E-4	7.2323E-4	7.52E-4	0.8671	3.0633E-2	0.505	1.655	29.330
37000000	8.020	8.394	8.8762E-2	1.0039	0.9453	1.1094	0.3147	0.2219	0.2088	0.2547	0.2902	0.2210	0.2312	0.2576	8.9906E-4	5.3539E-4	8.411E-4	0.5649	-5.365E-3	2.485	1.654	27.259
38000000	6.463	9.076	0.1265	1.1468	0.8651	1.2698	0.3172	0.2293	0.2018	0.2517	0.2878	0.2209	0.2343	0.2571	1.0431E-3	9.8638E-4	8.8656E-4	0.9143	-5.0265E-2	0.978	1.685	26.822
39000000	7.420	8.260	5.005E-3	0.9628	0.9029	1.1942	0.3110	0.2313	0.2047	0.2530	0.2996	0.2234	0.2384	0.2387	1.0844E-3	8.5003E-4	9.3505E-4	0.7170	-2.3413E-3	0.266	1.672	26.211
40000000	8.955	5.566	0.1303	0.5480	0.9399	1.1203	0.3187	0.2299	0.1982	0.2532	0.2954	0.2278	0.2289	0.2479	9.5817E-4	5.8904E-4	8.453E-4	0.5850	-3.5329E-2	4.245	1.652	28.036
41000000	7.661	8.001	2.5552E-2	0.3219	0.9358	1.1284	0.3098	0.2291	0.2070	0.2540	0.2918	0.2258	0.2293	0.2530	1.1015E-3	1.1809E-3	9.4882E-4	0.9954	-6.1005E-2	1.180	1.613	26.307
42000000	8.123	7.944	0.1785	0.6815	0.9082	1.1836	0.3099	0.2308	0.2034	0.2559	0.2959	0.2201	0.2366	0.2475	9.0329E-4	6.3897E-4	8.7839E-4	0.6633	-2.0052E-2	4.052	1.616	26.726
