taxon	date
A/Gunma/07G002/2008	2008-01-05
A/Gunma/07G006/2008	2008-01-28
A/Gunma/08G006/2009	2009-01-05
A/Guyane/14/2006	2006-03-30
A/Guyane/31/2007	2007-06-26
A/Guyane/8190/2008	2008-03-11
A/Gwangju/4324/2008	2008-12-02
A/Gwangju/55/2002	2002
A/Gwangju/57/2002	2002
A/Gwangju/58/2002	2002
A/Gwangju/90/2002	2002
A/Gwangju/904/2008	2008-01-21
A/Gyeonggi/4389/2008	2008-12-10
A/Gyeonggi/966/2005	2005-12-13
A/Gyeongnam/1890/2008	2008-02-25
A/Gyeongnam/3062/2007	2007-04-13
A/Gyeongnam/3074/2007	2007-04-13
A/Gyeongnam/4408/2008	2008-11-29
A/Gyeongnam/4409/2008	2008-12-03
A/Gyeongnam/4504/2007	2007-11-16
A/Gyeongnam/4516/2007	2007-12-03
A/Gyeongnam/4517/2007	2007-12-03
A/Gyeongnam/586/2008	2008-01-17
A/HaNoi/2017/2001	2001
A/HaNoi/2143/2001	2001
A/HaNoi/2253/2001	2001
A/HaNoi/2476/2001	2001
A/HaNoi/2480/2001	2001
A/HaNoi/2532/2001	2001
A/HaNoi/2546/2002	2002
A/HaNoi/2704/2002	2002
A/HaNoi/ARI172/2003	2003
A/HaNoi/ARI36/2003	2003
A/HaNoi/BM857/2003	2003
A/HaNoi/BM898/2003	2003-10-14
A/HaNoi/BM959/2003	2003-12-19
A/HaNoi/BT241/2008	2008-07-29
A/HaNoi/HN1004/2003	2003-12-17
A/HaNoi/HN719/2003	2003-08-26
A/HaNoi/HN867/2003	2003-10-28
A/HaNoi/N229/2008	2008-07-25
A/HaNoi/Q421/2006	2006-06-19
A/HaNoi/Q555/2006	2006-08-02
A/HaNoi/Q580/2006	2006-08-09
A/HaNoi/Q591/2006	2006-08-14
A/HaNoi/TX200/2008	2008-06-28
A/HaNoi/TX222/2008	2008-07-10
A/HaNoi/TX233/2008	2008-07-17
A/Hamburg/1/2005	2005
A/Hannover/71/2001	2001
A/Hanoi/1823/2001	2001-12-21
A/Hanoi/1863/2001	2001-12-27
A/Hanoi/1873/2002	2002
A/Hanoi/188/2002	2002-06-21
A/Hanoi/1892/2002	2002-01-06
A/Hanoi/191/2002	2002-06-23
A/Hanoi/1928/2002	2002-01-14
A/Hanoi/2006/2002	2002-01-23
A/Hanoi/BM344/2006	2006-05-11
A/Hanoi/BM356/2006	2006-05-19
A/Hanoi/ISBM31/2005	2005-04-08
A/Hanoi/Q137/2006	2006-03-07
A/Hanoi/Q177/2006	2006-03-15
A/Hanoi/TX09/2006	2006-06-08
A/Hebei-Xinhua/1171/2008	2008-11-23
A/Hebei/Nanshi1256/2006	2006-12-24
A/Hebei/Xinshi187/2007	2007-02-06
A/Hebei/Yuhua111/2007	2007-01-10
A/Hebei/Yuhua118/2007	2007-01-15
A/Heilongijang-Jianhua/124/2009	2009-02-17
A/Heilongjiang-Daoli/187/2008	2008-12-09
A/Heilongjiang-Daowai/110/2008	2008-11-27
A/Heilongjiang/Daoli13/2007	2007-01-08
A/Heilongjiang/Nangang15/2007	2007-01-02
A/Henan/08/2005	2005-10-27
A/Hessen/4/2005	2005
A/Hiroshima/37/2001	2001
A/HoChiMinh/HCM395/2006	2006-04-28
A/HoChiMinh/HCM526/2006	2006-05-21
A/HoChiMinh/HCM554/2006	2006-05-31
A/HoChiMinh/HCM639/2006	2006-06-13
A/Hokkaido/07H007/2007	2007-12-12
A/Hokkaido/08H024/2009	2009-01-13
A/Hong-Kong/128/2008	2008-02-02
A/Hong-Kong/132/2008	2008-02-01
A/Hong-Kong/1363/2008	2008-07-07
A/Hong-Kong/1492/2008	2008-07-14
A/Hong-Kong/1555/2008	2008-07-17
A/Hong-Kong/17/2008	2008-01-09
A/Hong-Kong/175/2008	2008-02-09
A/Hong-Kong/179/2008	2008-02-09
A/Hong-Kong/1794/2008	2008-07-24
A/Hong-Kong/1870/2008	2008-07-27
A/Hong-Kong/1975/2009	2009-03-30
A/Hong-Kong/1987/2009	2009-03-28
A/Hong-Kong/1988/2009	2009-03-29
A/Hong-Kong/1993/2009	2009-03-30
A/Hong-Kong/2387/2007	2007-04-30
A/Hong-Kong/2613/2007	2007-06-05
A/Hong-Kong/2652/2006	2006-07-17
A/Hong-Kong/29/2006	2006-01-03
A/Hong-Kong/31/2006	2006-01-06
A/Hong-Kong/3195/2008	2008-11-25
A/Hong-Kong/3212/2008	2008-12-10
A/Hong-Kong/3216/2008	2008-12-16
A/Hong-Kong/349/2008	2008-02-25
A/Hong-Kong/35/2006	2006-01-07
A/Hong-Kong/36/2008	2008-01-15
A/Hong-Kong/41/2008	2008-01-16
A/Hong-Kong/4580/2004	2004-10-09
A/Hong-Kong/4596/2004	2004-10-26
A/Hong-Kong/4703/2007	2007-09-20
A/Hong-Kong/4760/2007	2007-12-17
A/Hong-Kong/4766/2007	2007-12-24
A/Hong-Kong/4896/2005	2005-11-28
A/Hong-Kong/4899/2005	2005-11-28
A/Hong-Kong/4922/2005	2005-12-20
A/Hong-Kong/549/2008	2008-03-06
A/Hong-Kong/690/2008	2008-03-10
A/Hong-Kong/70/2009	2009-01-08
A/Hong-Kong/747/2001	2001
