taxon_id,geography
EBOV|20143753|KR653236|SLE|Tonkolili|2014-11-05,Tonkolili
EBOV|20143796|KR653257|SLE|Moyamba|2014-11-05,Moyamba
EBOV|20143918|KR653240|SLE|WesternRural|2014-11-06,WesternRural
EBOV|20143938|KR653264|SLE|Koinadugu|2014-11-07,Koinadugu
EBOV|20143964|KR653242|SLE|Bo|2014-11-07,Bo
EBOV|20144192|KR653238|SLE|Bombali|2014-11-08,Bombali
EBOV|20144521|KR653271|SLE|Kono|2014-11-12,Kono
EBOV|20144610|KR653270|SLE|Tonkolili|2014-11-12,Tonkolili
EBOV|20144819|KR653299|SLE|Moyamba|2014-11-15,Moyamba
EBOV|20144820|KR653243|SLE|Moyamba|2014-11-15,Moyamba
EBOV|20144837|KR653259|SLE|Bombali|2014-11-14,Bombali
EBOV|20144865|KR653231|SLE|PortLoko|2014-11-13,PortLoko
EBOV|20145835|KR653295|SLE|Tonkolili|2014-11-25,Tonkolili
EBOV|20145853|KR653290|SLE|Pujehun|2014-11-26,Pujehun
EBOV|20146001|KR653237|SLE|Kono|2014-11-24,Kono
EBOV|20146553|KR653224|SLE|Koinadugu|2014-12-22,Koinadugu
EBOV|Makona-201403147|KP240931|SLE|?|2014-09-13,Kailahun|Kenema|Kono|Bombali|Kambia|Koinadugu|PortLoko|Tonkolili|Bo|Bonthe|Moyamba|Pujehun|WesternRural|WesternUrban
EBOV|Makona-201403261|KP240932|LBR|?|2014-09-26,Nimba|RiverCess|RiverGee|Sinoe|Bomi|Bong|Gbarpolu|GrandCapeMount|GrandBassa|GrandGedeh|GrandKru|Lofa|Margibi|Maryland|Montserrado
EBOV|Makona-GE1|KP728283|SLE|WesternArea|2014-11-21,WesternRural|WesternUrban
EBOV|DML12033|KT357813|SLE|WesternUrban|2015-02-19,WesternUrban
EBOV|DML12051|KT357814|SLE|WesternUrban|2015-02-21,WesternUrban
