state	kappa	alpha	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
150000000	6.2731	0.1521	0.3079	0.2209	0.1978	0.2733	5.7014E-4	94.231	20.020	186.462
151000000	6.9298	0.1515	0.3078	0.2194	0.1986	0.2742	5.6279E-4	41.849	20.564	188.983
152000000	6.7435	0.1291	0.3097	0.2222	0.1985	0.2697	5.3642E-4	12.395	22.623	199.447
153000000	7.3056	0.1129	0.3027	0.2247	0.2015	0.2711	5.3377E-4	90.484	20.447	196.878
154000000	7.2658	8.3433E-2	0.3090	0.2294	0.2034	0.2582	5.3617E-4	6.790	21.167	192.730
155000000	6.1372	0.1237	0.3088	0.2232	0.2003	0.2677	5.1703E-4	898.462	20.974	194.055
156000000	7.2248	0.1787	0.3145	0.2174	0.1990	0.2690	5.1583E-4	764.894	21.862	201.202
157000000	7.1088	0.1105	0.3117	0.2229	0.2003	0.2651	5.6414E-4	31.816	21.027	190.495
158000000	6.1899	0.1680	0.3064	0.2220	0.2018	0.2698	5.1738E-4	11.281	21.448	193.800
159000000	6.9527	2.312E-2	0.3063	0.2201	0.1979	0.2756	5.4103E-4	101.339	22.031	195.034
160000000	6.3811	0.1076	0.3084	0.2185	0.2004	0.2727	5.0829E-4	354.910	23.160	202.042
161000000	6.8339	0.1949	0.3146	0.2197	0.1994	0.2663	5.3556E-4	181.439	21.418	188.542
162000000	7.0581	0.1115	0.3063	0.2224	0.1965	0.2748	5.393E-4	11.457	21.421	196.274
163000000	6.8091	0.1078	0.3147	0.2169	0.2018	0.2666	6.0972E-4	56.701	20.662	180.272
164000000	6.5129	0.1162	0.3134	0.2141	0.2033	0.2691	5.1422E-4	75.857	21.634	190.954
165000000	6.5702	0.1317	0.3031	0.2288	0.1981	0.2700	5.3214E-4	193.957	21.073	195.999
166000000	7.4745	0.1209	0.3122	0.2142	0.2034	0.2702	4.9752E-4	9.204	21.431	197.636
167000000	6.8395	0.1347	0.3096	0.2221	0.1971	0.2713	5.6017E-4	49.798	19.193	190.814
168000000	6.5342	0.1456	0.3127	0.2188	0.1978	0.2707	5.3422E-4	16.050	21.417	196.731
169000000	6.4376	0.1512	0.3119	0.2208	0.2012	0.2661	5.1705E-4	3.801	22.700	200.564
170000000	6.7102	0.2031	0.3101	0.2206	0.1987	0.2706	5.4484E-4	13.436	20.808	189.173
171000000	6.8838	0.1391	0.2993	0.2248	0.2016	0.2744	5.5017E-4	18.047	21.421	188.781
172000000	6.7642	0.1387	0.3022	0.2239	0.2011	0.2727	5.1524E-4	50.913	23.290	202.691
173000000	7.5661	0.1801	0.3133	0.2214	0.1962	0.2690	5.6996E-4	27.404	19.730	181.345
174000000	7.6739	9.3164E-2	0.3047	0.2244	0.2006	0.2702	5.6469E-4	146.586	21.595	193.176
175000000	6.6279	0.1400	0.3055	0.2246	0.2000	0.2699	5.5101E-4	2.496	22.104	190.821
176000000	6.5604	0.2259	0.3058	0.2234	0.2000	0.2708	5.3392E-4	21.871	20.972	195.391
177000000	6.5842	0.1133	0.3108	0.2174	0.1980	0.2738	5.283E-4	7.098	21.258	198.644
178000000	7.0623	0.1170	0.3041	0.2174	0.2006	0.2779	4.9938E-4	47.483	21.968	208.922
179000000	6.5630	0.1663	0.3121	0.2233	0.2010	0.2637	5.2574E-4	51.194	22.845	203.249
180000000	6.4214	0.1664	0.3091	0.2218	0.2013	0.2679	5.1355E-4	16.947	20.970	199.985
181000000	7.0001	0.1387	0.3065	0.2275	0.2031	0.2629	4.9325E-4	41.005	22.495	199.976
182000000	6.2674	0.1446	0.3043	0.2223	0.2034	0.2700	5.0024E-4	382.370	22.490	209.366
183000000	6.7375	0.1763	0.3065	0.2205	0.1972	0.2758	5.666E-4	28.257	20.628	185.158
184000000	6.7153	5.4253E-2	0.3096	0.2172	0.2044	0.2688	5.085E-4	250.318	21.535	202.220
185000000	6.7653	0.1496	0.3096	0.2185	0.1984	0.2735	5.3504E-4	125.919	21.443	199.707
186000000	6.1478	0.1100	0.3037	0.2225	0.2025	0.2713	5.1028E-4	2.786	20.733	199.944
187000000	6.5794	0.1167	0.3069	0.2214	0.1990	0.2726	5.7012E-4	20.301	19.660	187.293
188000000	6.9162	0.1219	0.3109	0.2183	0.2031	0.2677	5.5967E-4	40.651	20.894	191.421
189000000	6.4722	1.9316E-2	0.3074	0.2167	0.1982	0.2777	5.4055E-4	13.985	21.235	193.866
190000000	6.7783	0.1484	0.3034	0.2297	0.1975	0.2694	5.3932E-4	68.631	19.675	192.536
191000000	6.7303	0.1549	0.3017	0.2284	0.2006	0.2693	5.3041E-4	45.123	22.616	198.320
192000000	6.6622	0.1861	0.3029	0.2251	0.2011	0.2709	4.9603E-4	89.293	22.618	202.900
193000000	7.1776	0.1159	0.3075	0.2236	0.1979	0.2710	6.0656E-4	201.481	18.772	177.593
194000000	7.1442	9.8052E-2	0.3051	0.2216	0.1994	0.2739	5.2847E-4	8.607	21.607	205.485
195000000	6.7406	9.3684E-2	0.3082	0.2193	0.2016	0.2709	5.065E-4	17.441	21.478	198.459
196000000	7.6110	0.1338	0.3067	0.2257	0.1984	0.2692	4.9723E-4	7.738	23.268	204.781
197000000	6.3724	0.1344	0.3112	0.2181	0.2028	0.2680	6.0587E-4	16.959	18.018	176.921
198000000	7.2855	0.1586	0.3067	0.2223	0.2036	0.2675	5.0918E-4	931.995	22.067	204.054
199000000	7.6759	5.4612E-2	0.3082	0.2190	0.2007	0.2720	5.6116E-4	185.964	19.226	180.042
200000000	6.2527	0.1267	0.3075	0.2206	0.2013	0.2705	5.7011E-4	14.200	21.600	192.330
201000000	6.4738	0.1453	0.3098	0.2221	0.1956	0.2725	5.279E-4	234.229	23.546	200.179
202000000	6.9503	0.1196	0.3087	0.2227	0.2019	0.2666	5.1958E-4	34.976	22.229	196.975
203000000	7.0668	9.391E-2	0.3091	0.2151	0.2037	0.2722	5.0845E-4	187.276	24.236	206.313
204000000	6.8486	0.1540	0.3066	0.2183	0.2061	0.2689	5.7058E-4	34.210	18.709	181.195
205000000	6.8842	0.1322	0.3132	0.2166	0.1979	0.2724	5.6232E-4	8.811	21.964	186.909
206000000	6.5062	0.1746	0.3074	0.2187	0.2012	0.2727	5.713E-4	23.127	21.215	190.625
207000000	6.8537	0.2041	0.3080	0.2254	0.2030	0.2636	5.0707E-4	90.482	20.882	193.690
208000000	6.7896	0.1436	0.3095	0.2200	0.1990	0.2715	5.3068E-4	7.637	20.141	188.658
209000000	6.5870	0.1397	0.3042	0.2244	0.2031	0.2683	5.6368E-4	53.110	20.221	188.633
210000000	6.5154	0.1087	0.3073	0.2250	0.2017	0.2660	4.9696E-4	338.421	23.243	207.786
211000000	6.4284	0.1728	0.3078	0.2205	0.2001	0.2716	5.2714E-4	6.271	20.597	190.097
212000000	6.9533	0.1483	0.3027	0.2190	0.2042	0.2741	4.9234E-4	252.134	23.468	210.753
213000000	7.4580	0.2058	0.3132	0.2192	0.2012	0.2664	5.2116E-4	18.675	22.448	198.806
214000000	7.0508	0.1771	0.3059	0.2216	0.2025	0.2700	5.3555E-4	11.938	22.495	203.880
215000000	6.3810	0.1628	0.3036	0.2194	0.2026	0.2744	5.4858E-4	105.769	20.799	190.590
216000000	7.3150	0.1250	0.3075	0.2202	0.2016	0.2706	5.6689E-4	12.059	20.680	185.814
217000000	7.5353	9.679E-2	0.3070	0.2170	0.1990	0.2770	4.9759E-4	83.053	23.019	205.795
218000000	6.8420	0.1600	0.3045	0.2230	0.1991	0.2734	5.5851E-4	573.302	19.330	187.753
219000000	6.2307	0.1478	0.3129	0.2187	0.2010	0.2675	5.4149E-4	19.177	21.603	194.767
220000000	6.4681	4.5162E-2	0.3045	0.2206	0.2053	0.2696	5.1904E-4	10.059	22.125	194.854
221000000	6.5723	0.1345	0.3036	0.2207	0.1992	0.2765	5.4331E-4	6.695	20.831	192.066
222000000	6.8558	0.1477	0.3117	0.2227	0.2019	0.2637	5.2164E-4	4.540	22.073	191.892
223000000	6.7951	7.7953E-2	0.3055	0.2219	0.2026	0.2699	5.0532E-4	149.761	21.088	197.345
224000000	6.9119	0.1388	0.3075	0.2197	0.1954	0.2774	5.3095E-4	15.974	21.529	189.868
225000000	6.6533	0.1018	0.3167	0.2196	0.2043	0.2594	5.9705E-4	16.791	20.699	182.861
226000000	6.4563	0.1451	0.3040	0.2274	0.2028	0.2658	5.8517E-4	15.628	19.246	180.937
227000000	6.6351	0.1425	0.3056	0.2168	0.2049	0.2727	5.4896E-4	86.216	21.903	192.586
228000000	7.4413	9.2006E-2	0.3111	0.2145	0.2004	0.2740	5.5107E-4	141.686	19.552	188.804
229000000	6.6955	0.1280	0.3093	0.2202	0.2007	0.2698	5.5261E-4	17.770	21.023	188.230
230000000	7.6202	0.1140	0.3065	0.2260	0.2014	0.2661	5.6096E-4	31.469	22.800	192.512
231000000	7.0876	0.1435	0.3054	0.2248	0.1971	0.2727	5.2102E-4	6.485	21.832	199.129
232000000	5.5633	0.1242	0.3027	0.2187	0.2045	0.2741	5.6033E-4	39.605	19.342	185.674
233000000	6.1724	0.1448	0.3093	0.2216	0.2024	0.2667	5.2506E-4	61.299	21.603	198.499
234000000	6.6603	0.1392	0.3104	0.2227	0.2000	0.2668	5.1864E-4	7.066	22.382	199.620
235000000	6.7008	0.1295	0.3057	0.2200	0.1997	0.2746	5.2918E-4	20.033	22.665	203.596
236000000	7.5439	0.1292	0.3078	0.2210	0.2053	0.2660	5.9917E-4	10.770	20.529	188.472
237000000	6.3700	0.1644	0.3090	0.2181	0.2017	0.2712	5.8442E-4	12.112	19.813	184.081
238000000	6.8434	0.1951	0.3049	0.2202	0.1957	0.2791	5.2292E-4	2.202	21.031	198.131
239000000	6.5657	0.1613	0.3136	0.2242	0.1952	0.2670	4.5929E-4	17.342	23.373	216.660
240000000	6.3750	0.1940	0.3013	0.2190	0.2080	0.2716	4.9731E-4	64.947	23.541	203.821
241000000	7.0388	0.1517	0.3088	0.2207	0.2029	0.2676	5.3354E-4	393.104	19.359	190.037
242000000	6.9530	0.1138	0.3115	0.2176	0.1995	0.2714	6.0828E-4	76.539	21.182	187.140
243000000	6.1572	0.1136	0.2994	0.2223	0.1994	0.2789	5.1742E-4	586.428	22.017	205.294
244000000	7.2233	0.1566	0.3073	0.2234	0.2042	0.2651	5.4409E-4	61.351	21.386	194.924
245000000	5.8219	0.1756	0.3056	0.2195	0.2081	0.2668	5.4682E-4	95.860	21.571	188.703
246000000	6.3373	0.1551	0.3132	0.2174	0.2053	0.2641	5.2785E-4	4.894	20.179	197.126
247000000	6.7594	0.1499	0.3135	0.2192	0.1983	0.2690	5.4623E-4	14.546	21.726	199.191
248000000	6.4110	0.1180	0.3051	0.2220	0.2024	0.2705	5.9554E-4	12.966	19.234	178.161
249000000	6.8164	0.1216	0.3129	0.2143	0.2068	0.2660	5.5848E-4	101.798	19.673	183.841
250000000	7.0548	0.2070	0.3058	0.2277	0.1955	0.2709	5.272E-4	6.674	22.618	201.528
251000000	6.8617	0.1640	0.3059	0.2232	0.2017	0.2691	5.6417E-4	11.373	20.682	189.059
252000000	6.7357	0.1523	0.3067	0.2204	0.1994	0.2735	5.4294E-4	9.664	22.049	190.768
