state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
125000000	0.1098	2.5441	0.1960	7.0767E-2	3.0134	6.5935E-2	0.3762	0.2933	0.2075	0.2208	0.2784	8.0569E-4	9.7932E-5	8.0132E-4	0.1205	1.1125E-2	16.815	1150.184	21629.086
126000000	0.1200	2.5498	0.1897	7.0474E-2	3.0049	6.5116E-2	0.3794	0.2929	0.2073	0.2189	0.2809	8.0289E-4	9.7859E-5	8.0129E-4	0.1185	1.5114E-2	8.915	1067.039	21503.768
127000000	0.1147	2.4955	0.1887	6.9013E-2	3.0676	6.4457E-2	0.3808	0.2972	0.2041	0.2235	0.2752	7.6268E-4	7.2345E-5	7.5795E-4	0.0965	2.7525E-2	21.056	1133.076	22971.326
128000000	0.1085	2.4888	0.1895	7.4542E-2	3.0709	6.7667E-2	0.3824	0.3004	0.2030	0.2229	0.2737	7.7507E-4	8.8488E-5	7.8036E-4	0.1104	-2.7984E-2	18.080	1118.721	22231.676
129000000	0.1098	2.4992	0.2005	7.3588E-2	3.0470	6.9813E-2	0.3788	0.2978	0.2041	0.2211	0.2770	7.4953E-4	8.7951E-5	7.5658E-4	0.1140	2.0593E-2	22.417	1148.265	22814.527
130000000	0.1141	2.4816	0.1911	7.318E-2	3.0747	6.5336E-2	0.3874	0.3020	0.2016	0.2240	0.2725	7.8928E-4	9.2719E-5	7.8233E-4	0.1163	-3.5452E-2	18.662	1130.590	22350.271
131000000	0.1111	2.4609	0.1878	7.3581E-2	3.0966	7.0023E-2	0.3889	0.3000	0.2027	0.2258	0.2715	8.0995E-4	8.5697E-5	8.1784E-4	0.1082	-3.7471E-2	13.835	1059.949	21389.027
132000000	0.1125	2.4836	0.1908	7.189E-2	3.0715	6.9734E-2	0.3850	0.3015	0.2020	0.2246	0.2719	7.6546E-4	9.6042E-5	7.5069E-4	0.1206	-3.0499E-2	10.734	1169.954	23235.372
133000000	0.1089	2.4944	0.1919	7.2563E-2	3.0644	6.7879E-2	0.3761	0.2995	0.2048	0.2233	0.2724	7.4287E-4	7.8742E-5	7.49E-4	0.1078	-2.3389E-3	14.860	1133.694	23270.653
134000000	0.1095	2.4799	0.1876	7.8974E-2	3.0746	6.9403E-2	0.3872	0.2999	0.2044	0.2235	0.2722	7.8824E-4	9.5641E-5	7.8105E-4	0.1197	-3.7614E-2	7.234	1073.504	22178.948
135000000	0.1173	2.5627	0.1930	7.4023E-2	2.9889	6.4066E-2	0.3780	0.2943	0.2085	0.2182	0.2790	7.9085E-4	9.898E-5	7.8282E-4	0.1224	-6.5977E-3	11.213	1089.783	21999.934
136000000	0.1101	2.5123	0.1896	7.4415E-2	3.0470	6.653E-2	0.3759	0.2988	0.2046	0.2202	0.2764	7.9826E-4	9.396E-5	7.9007E-4	0.1120	9.9872E-3	18.031	1088.219	21839.058
137000000	0.1070	2.5107	0.1916	7.1878E-2	3.0489	6.999E-2	0.3802	0.2988	0.2031	0.2217	0.2764	7.8788E-4	8.4792E-5	7.8769E-4	0.1101	-5.3016E-2	21.202	1113.664	22070.195
138000000	0.1089	2.5393	0.1916	7.6905E-2	3.0126	7.0689E-2	0.3954	0.2958	0.2089	0.2184	0.2770	7.7408E-4	8.3603E-5	7.5873E-4	0.1099	4.4081E-3	14.818	1315.050	23214.489
139000000	0.1111	2.5242	0.1916	7.4933E-2	3.0312	6.6975E-2	0.3823	0.2970	0.2045	0.2222	0.2763	7.799E-4	7.3568E-5	7.8033E-4	0.0934	-3.8074E-2	11.995	1127.449	22219.188
140000000	0.1149	2.4953	0.1891	7.5771E-2	3.0581	6.6875E-2	0.3902	0.2970	0.2066	0.2210	0.2754	7.9936E-4	9.0805E-5	7.9453E-4	0.1156	2.8365E-2	9.029	1070.875	22065.548
141000000	0.1062	2.5563	0.1969	7.5783E-2	2.9976	6.7223E-2	0.3888	0.2944	0.2079	0.2181	0.2796	7.9804E-4	9.0783E-5	7.864E-4	0.1081	1.6641E-3	12.051	1229.746	22114.585
142000000	0.1052	2.4646	0.1906	8.1901E-2	3.0896	6.8062E-2	0.3918	0.3013	0.2011	0.2238	0.2738	8.2078E-4	9.7029E-5	8.0878E-4	0.1158	-5.295E-2	4.176	1173.324	21546.725
143000000	0.1151	2.4998	0.1927	7.2983E-2	3.0479	7.1505E-2	0.3848	0.2984	0.2077	0.2207	0.2732	8.1533E-4	9.7248E-5	8.0444E-4	0.1178	1.09E-2	10.661	1041.945	21445.216
144000000	0.1079	2.4972	0.1919	7.4102E-2	3.0662	6.2733E-2	0.3821	0.2993	0.2029	0.2237	0.2741	8.2383E-4	1.029E-4	8.3146E-4	0.1229	-5.2412E-2	18.244	1085.362	20957.269
145000000	0.1066	2.4938	0.1881	7.5107E-2	3.0706	6.5675E-2	0.3868	0.3023	0.2033	0.2216	0.2728	7.6501E-4	8.1158E-5	7.7053E-4	0.1034	-4.7929E-3	11.005	1101.198	22871.706
146000000	0.1064	2.5478	0.1880	7.8255E-2	3.0091	7.0469E-2	0.3777	0.2988	0.2059	0.2174	0.2779	7.6361E-4	7.8216E-5	7.6305E-4	0.1004	3.1116E-2	14.707	1155.727	22711.247
147000000	0.1133	2.4733	0.1851	6.9279E-2	3.0881	7.0949E-2	0.3754	0.3007	0.2034	0.2225	0.2734	7.4609E-4	8.5677E-5	7.3209E-4	0.1132	-3.3235E-2	21.448	1251.211	23439.655
148000000	0.1125	2.5026	0.1934	7.5938E-2	3.0526	6.2932E-2	0.3846	0.2986	0.2031	0.2215	0.2768	7.5818E-4	7.702E-5	7.5023E-4	0.1012	1.699E-2	17.591	1216.786	23148.568
149000000	0.1098	2.4887	0.1889	7.2933E-2	3.0722	6.7628E-2	0.3767	0.3009	0.2041	0.2217	0.2733	7.7785E-4	8.9786E-5	7.7534E-4	0.1180	7.8284E-3	19.797	1118.089	22274.739
150000000	0.1100	2.5248	0.1905	7.2732E-2	3.0355	6.6489E-2	0.3794	0.2954	0.2045	0.2218	0.2783	7.8651E-4	9.0874E-5	7.8786E-4	0.1154	-3.6544E-2	9.688	1096.322	22339.645
151000000	0.1062	2.5076	0.1877	7.4984E-2	3.0567	6.683E-2	0.3845	0.2999	0.2055	0.2189	0.2756	7.5979E-4	1.0175E-4	7.5679E-4	0.1283	-1.0666E-3	15.776	1119.974	22944.416
152000000	0.1100	2.5110	0.1860	7.8003E-2	3.0468	6.8226E-2	0.3830	0.3009	0.2040	0.2224	0.2727	7.5756E-4	8.6957E-5	7.3959E-4	0.1122	-4.9187E-2	13.179	1234.174	23663.932
