state	cp12.kappa	cp3.kappa	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	cp12.mu	cp3.mu	clock.rate	constant.popSize	rootHeight	treeLength
263000000	6.705	8.653	0.4092	0.1662	0.2000	0.2246	0.3406	0.1879	0.1708	0.3007	0.6311	1.7378	4.2672E-3	16.503	12.272	716.359
264000000	6.019	8.906	0.3878	0.1772	0.2221	0.2129	0.3640	0.1729	0.1803	0.2828	0.6337	1.7326	4.2896E-3	16.441	12.530	725.689
265000000	7.097	9.935	0.4027	0.1722	0.2087	0.2163	0.3573	0.1858	0.1832	0.2737	0.6167	1.7666	4.4684E-3	16.583	12.579	721.830
266000000	5.993	8.255	0.4123	0.1579	0.2077	0.2221	0.3592	0.1812	0.1800	0.2797	0.6218	1.7565	4.4893E-3	16.332	12.191	708.470
267000000	6.121	8.948	0.3975	0.1649	0.2159	0.2218	0.3669	0.1917	0.1747	0.2667	0.6233	1.7535	4.4162E-3	16.294	12.990	709.494
268000000	6.012	8.628	0.3838	0.1632	0.2221	0.2309	0.3528	0.2039	0.1762	0.2671	0.6212	1.7576	4.5277E-3	16.262	13.400	719.458
269000000	6.290	8.854	0.3935	0.1694	0.2027	0.2344	0.3584	0.1886	0.1809	0.2721	0.6267	1.7465	4.2799E-3	17.219	12.563	734.902
270000000	7.324	8.775	0.3955	0.1688	0.2111	0.2246	0.3504	0.1966	0.1730	0.2800	0.6390	1.7221	4.5056E-3	15.772	12.255	688.869
271000000	6.127	8.847	0.4062	0.1650	0.2218	0.2070	0.3471	0.1949	0.1842	0.2738	0.5937	1.8127	4.3998E-3	16.913	12.189	727.477
272000000	6.148	9.453	0.3918	0.1780	0.2148	0.2154	0.3565	0.1958	0.1753	0.2724	0.6090	1.7819	4.4371E-3	15.582	12.429	708.816
273000000	5.937	8.860	0.4081	0.1629	0.2177	0.2113	0.3469	0.2056	0.1812	0.2663	0.6104	1.7792	4.3752E-3	17.049	12.451	717.246
274000000	6.562	8.659	0.3873	0.1697	0.2245	0.2185	0.3495	0.1980	0.1728	0.2797	0.6110	1.7781	4.6163E-3	15.216	12.376	712.565
275000000	6.951	10.046	0.3761	0.1801	0.2122	0.2317	0.3689	0.1761	0.1851	0.2699	0.6189	1.7622	4.4108E-3	15.727	12.547	711.639
276000000	6.742	9.010	0.3969	0.1601	0.2180	0.2250	0.3404	0.1884	0.1955	0.2758	0.6111	1.7778	4.7543E-3	13.949	12.500	680.021
