state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
447000000	0.1289	1.2365	0.1587	3.7911E-2	4.2721	0.1658	0.2868	0.2693	0.2022	0.2909	0.2376	4.3356E-4	1.4772E-4	4.2432E-4	0.3393	-6.1329E-3	0.330	18.418	2225.002
448000000	0.1246	1.2360	0.1509	3.5783E-2	4.3000	0.1528	0.2870	0.2699	0.2066	0.2922	0.2314	4.4595E-4	1.3926E-4	4.4037E-4	0.3126	-4.5789E-3	0.150	18.632	2180.926
449000000	0.1231	1.2300	0.1543	3.994E-2	4.2842	0.1685	0.2897	0.2672	0.2113	0.2839	0.2376	4.6818E-4	1.6776E-4	4.4631E-4	0.3552	2.4282E-2	0.153	18.732	2151.078
450000000	0.1230	1.2768	0.1611	3.0703E-2	4.2574	0.1509	0.2947	0.2672	0.2085	0.2880	0.2363	4.6E-4	1.5117E-4	4.4056E-4	0.3259	8.3139E-3	0.322	18.469	2139.029
451000000	0.1301	1.2786	0.1528	3.4788E-2	4.2497	0.1540	0.3014	0.2657	0.2100	0.2873	0.2370	4.6958E-4	1.7692E-4	4.5763E-4	0.3800	-3.5059E-2	0.159	18.305	2092.444
452000000	0.1166	1.2635	0.1329	4.1074E-2	4.2837	0.1623	0.2830	0.2798	0.2033	0.2817	0.2352	4.5912E-4	1.6533E-4	4.4324E-4	0.3599	-1.167E-2	0.128	18.266	2146.983
453000000	0.1173	1.2730	0.1537	3.5402E-2	4.2639	0.1566	0.2925	0.2781	0.2081	0.2764	0.2373	4.5526E-4	1.7035E-4	4.4406E-4	0.3603	-3.2744E-2	0.091	18.294	2130.393
454000000	0.1278	1.2698	0.1376	3.8421E-2	4.2675	0.1589	0.3081	0.2697	0.2052	0.2872	0.2378	4.7852E-4	1.8046E-4	4.5818E-4	0.3769	-1.1443E-2	0.132	18.262	2129.129
455000000	0.1298	1.1574	0.1452	3.2037E-2	4.3637	0.1719	0.2858	0.2750	0.2054	0.2925	0.2271	4.4944E-4	1.5684E-4	4.3663E-4	0.3369	-1.3905E-2	0.152	18.409	2154.834
456000000	0.1236	1.2425	0.1638	4.3915E-2	4.2463	0.1799	0.2728	0.2665	0.2094	0.2871	0.2370	4.6141E-4	1.6048E-4	4.4871E-4	0.3410	-3.6841E-2	0.277	18.646	2156.833
457000000	0.1167	1.2544	0.1605	2.9021E-2	4.2896	0.1498	0.2747	0.2658	0.2056	0.2932	0.2354	4.7351E-4	1.7006E-4	4.5603E-4	0.3680	1.2744E-2	0.068	18.567	2126.305
458000000	0.1171	1.2477	0.1470	2.3991E-2	4.2934	0.1708	0.2918	0.2703	0.2072	0.2865	0.2360	4.6164E-4	1.7931E-4	4.4007E-4	0.3814	-3.8348E-2	0.262	18.434	2199.603
459000000	0.1342	1.2048	0.1529	3.3253E-2	4.3142	0.1605	0.2907	0.2721	0.2083	0.2801	0.2395	4.5883E-4	1.6514E-4	4.4911E-4	0.3609	-4.3008E-3	0.351	18.529	2135.306
460000000	0.1326	1.2108	0.1465	3.5046E-2	4.3096	0.1654	0.2975	0.2671	0.2045	0.2942	0.2341	4.5807E-4	1.6744E-4	4.5178E-4	0.3539	2.1901E-2	0.419	18.417	2158.248
461000000	0.1310	1.2452	0.1494	2.9013E-2	4.2853	0.1600	0.2913	0.2693	0.2139	0.2793	0.2375	4.6812E-4	1.6523E-4	4.5376E-4	0.3454	4.5163E-2	0.185	18.337	2147.018
462000000	0.1162	1.2470	0.1432	2.6859E-2	4.3081	0.1586	0.2944	0.2694	0.2067	0.2982	0.2257	4.4923E-4	1.6467E-4	4.4173E-4	0.3625	-4.6397E-3	0.271	18.292	2131.758
463000000	0.1072	1.2351	0.1447	3.8345E-2	4.3218	0.1528	0.2953	0.2798	0.2054	0.2795	0.2353	4.7495E-4	1.5654E-4	4.6884E-4	0.3360	4.351E-2	0.396	18.344	2099.832
464000000	0.1232	1.2246	0.1538	3.4545E-2	4.3037	0.1602	0.2886	0.2765	0.2046	0.2848	0.2341	4.6814E-4	1.6851E-4	4.5467E-4	0.3596	3.1578E-3	0.149	18.642	2126.620
