taxon	date
2002|Swine|A/swine/Hong_Kong/762/2002|Hong_Kong|H1N1	2002-01-01
2002|Swine|A/swine/Iowa/H02PW7/2002|USA|H1N1	2002-01-01
2003|Avian|A/chicken/France/03426/2003|France|H5N2	2003-01-01
2003|Avian|A/chicken/Taiwan/0706/03|Taiwan|H6N1	2003-01-01
2003|Avian|A/duck/Victoria/2853/2003|Australia|H4N8	2003-01-01
2003|Equine|A/equine/Newmarket/5/2003|United_Kingdom|H3N8	2003-01-01
2003|Human|A/Wyoming/03/2003|USA|H3N2	2003-01-01
2003|Swine|A/swine/Hong_Kong/NS129/2003|Hong_Kong|H1N1	2003-01-01
2004|Avian|A/chicken/Taiwan/0305/04|Taiwan|H6N1	2004-01-01
2004|Avian|A/ruddy_turnstone/NJ/238/2004|USA|H10N7	2004-01-01
2004|Avian|A/shorebird/DE/68/2004|USA|H13N9	2004-01-01
2004|Swine|A/swine/Hong_Kong/NS1170/2004|Hong_Kong|H1N1	2004-01-01
2004|Swine|A/swine/IN/PU542/04_|USA|H3N1	2004-01-01
2005|Avian|A/black-headed_gull/Sweden/1/2005|Sweden|H13N8	2005-01-01
2005|Avian|A/chicken/Taiwan/A342/05|Taiwan|H6N1	2005-01-01
2005|Avian|A/chicken/Vietnam/NCVD09/2005|Viet_Nam|H5N1	2005-01-01
2005|Equine|A/equine/Texas/117793/2005|USA|H3N8	2005-01-01
2005|Human|A/Hiroshima/52/2005|Japan|H3N2	2005-01-01
2005|Swine|A/swine/Hong_Kong/1562/2005|Hong_Kong|H1N2	2005-01-01
2005|Swine|A/swine/Hong_Kong/1683/2005|Hong_Kong|H1N1	2005-01-01
2005|Swine|A/swine/Nebraska/00722/2005|USA|mixed	2005-01-01
2005|Swine|A/swine/Shanghai/1/2005|China|H1N1	2005-01-01
2006|Avian|A/northern_shoveler/Washington/44249-645/2006|USA|H5N2	2006-01-01
2006|Avian|A/pekin_duck/California/P30/2006|USA|H4N2	2006-01-01
2006|Avian|A/shorebird/Delaware/221/2006|USA|H13N9	2006-01-01
2006|Swine|A/swine/Guangdong/628/2006|China|H1N1	2006-01-01
2006|Swine|A/swine/Guangxi/13/2006|China|H1N2	2006-01-01
2006|Swine|A/swine/Minnesota/001332/2006|USA|H3N2	2006-01-01
2007|Avian|A/chicken/Bac_Lieu/07-10/2007|Viet_Nam|H5N1	2007-01-01
2007|Avian|A/cinnamon_teal/California/44287-325/2007|USA|H3N8	2007-01-01
2007|Avian|A/rosy-billed_pochard/Argentina/CIP051-269/2007|Argentina|H6N8	2007-01-01
2007|Avian|A/rosy-billed_pochard/Argentina/CIP051-557/2007|Argentina|H6N2	2007-01-01
2007|Avian|A/rosy-billed_pochard/Argentina/CIP051-559/2007|Argentina|H9N2	2007-01-01
2007|Equine|A/equine/Xinjiang/3/2007|China|H3N8	2007-01-01
2007|Human|A/HungYen/HY6/2007|Viet_Nam|H3N2	2007-01-01
2007|Swine|A/swine/Kansas/77778/2007|USA|H1N1	2007-01-01
2007|Swine|A/swine/Zhejiang/1/2007|China|H1N1	2007-01-01
2008|Avian|A/laughing_gull/New_Jersey/Sg-00568/2008|USA|H13N9	2008-01-01
2008|Avian|A/mallard/California/6524/2008|USA|H12N5	2008-01-01
2008|Avian|A/red-winged_tinamou/Argentina/MP1/2008|Argentina|H1N1	2008-01-01
2008|Avian|A/rosy-billed_pochard/Argentina/CIP051-925/2008|Argentina|H6N2	2008-01-01
2008|Equine|A/equine/Liaoning/9/2008|China|H3N8	2008-01-01
