taxon	date
LASV_NGA_2018_IRR_110_NGA-Edo_Iyamho_Hs_2018-02-20	2018-02-20
LASV_NGA_2018_IRR_114_NGA-Edo_Ekpoma_Hs_2018-02-21	2018-02-21
LASV_NGA_2018_IRR_115_NGA-Delta_Asaba_Hs_2018-02-21	2018-02-21
LASV_NGA_2018_IRR_117_NGA-Edo_Afuze_Hs_2018-02-24	2018-02-24
LASV_NGA_2018_IRR_119_NGA-Edo_Auchi_Hs_2018-02-25	2018-02-25
LASV_NGA_2018_IRR_120_NGA-Edo_Ehor_Hs_2018-02-25	2018-02-25
LASV_NGA_2018_IRR_121_NGA-Edo_Uhiele_Hs_2018-02-26	2018-02-26
LASV_NGA_2018_IRR_126_NGA-Ondo_Ute_Hs_2018-02-28	2018-02-28
LASV_NGA_2018_IRR_131_NGA-Edo_BeninCity_Hs_2018-03-01	2018-03-01
LASV_NGA_2018_IRR_135_NGA-Edo_Ekpoma_Hs_2018-03-05	2018-03-05
LASV_NGA_2018_IRR_137_NGA-Edo_Uromi_Hs_2018-03-08	2018-03-08
LASV_NGA_2018_IRR_142_NGA-Edo_Uromi_Hs_2018-03-09	2018-03-09
LASV|NGA|2019|IRR_0001|2019-01-15	2019-01-15
LASV|NGA|2019|IRR_0002|2019-01-16	2019-01-16
LASV|NGA|2019|IRR_0003|2019-01-15	2019-01-15
LASV|NGA|2019|IRR_0004|2019-01-17	2019-01-17
LASV|NGA|2019|IRR_0005|2019-01-18	2019-01-18
LASV|NGA|2019|IRR_0006|2019-01-20	2019-01-20
LASV|NGA|2019|IRR_0008|2019-01-20	2019-01-20
LASV|NGA|2019|IRR_0009|2019-01-21	2019-01-21
LASV|NGA|2019|IRR_0010|2019-01-22	2019-01-22
LASV|NGA|2019|IRR_0011|2019-01-22	2019-01-22
LASV|NGA|2019|IRR_0017|2018-12-31	2018-12-31
LASV|NGA|2019|IRR_0019|2019-01-08	2019-01-08
LASV|NGA|2019|IRR_0020|2019-01-09	2019-01-09
LASV|NGA|2019|IRR_0021|2019-01-18	2019-01-18
LASV|NGA|2019|IRR_0022|2019-01-25	2019-01-25
LASV|NGA|2019|IRR_0023|2019-01-26	2019-01-26
LASV|NGA|2019|IRR_0024|2019-01-27	2019-01-27
LASV|NGA|2019|IRR_0025|2019-02-02	2019-02-02
LASV|NGA|2019|IRR_0026|2019-02-02	2019-02-02
LASV|NGA|2019|IRR_0027|2019-01-05	2019-01-05
LASV|NGA|2019|IRR_0028|2019-01-25	2019-01-25
LASV|NGA|2019|IRR_0029|2019-01-18	2019-01-18
LASV|NGA|2019|IRR_0049|2019-01-04	2019-01-04
LASV|NGA|2019|IRR_0050|2019-01-16	2019-01-16
LASV|NGA|2019|IRR_0053|2019-01-23	2019-01-23
LASV|NGA|2019|IRR_0055|2019-01-24	2019-01-24
LASV|NGA|2019|IRR_0057|2019-01-29	2019-01-29
LASV|NGA|2019|IRR_0058|2019-02-13	2019-02-13
