state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	pInv	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
110000000	0.2236	1.3918	0.2675	0.2169	3.0100	0.8903	0.8385	0.2981	0.1848	0.1962	0.3209	1.3947E-3	1.501	0.168	15.939
111000000	0.3098	0.9822	0.2806	0.3116	3.2598	0.8559	0.8737	0.3000	0.1794	0.1958	0.3247	1.6585E-3	0.545	0.187	14.389
112000000	0.2548	1.1698	0.2629	0.3842	3.0894	0.8390	0.8871	0.2979	0.1800	0.1978	0.3243	1.5228E-3	0.122	0.161	15.791
113000000	0.2638	1.1423	0.2153	0.4081	3.0345	0.9359	0.8312	0.2966	0.1786	0.2001	0.3248	1.43E-3	0.139	0.176	15.819
114000000	0.3052	1.3769	0.1894	0.2432	3.0285	0.8568	0.8283	0.2972	0.1845	0.1931	0.3251	1.3474E-3	0.740	0.175	15.319
115000000	0.2959	1.2793	0.2114	0.2193	3.1276	0.8664	0.8752	0.2998	0.1838	0.1923	0.3241	1.4261E-3	0.113	0.156	16.279
116000000	0.3599	1.2933	0.2440	0.2563	2.9522	0.8943	0.8668	0.2937	0.1802	0.2003	0.3258	1.3195E-3	0.055	0.156	16.367
117000000	0.3424	1.3223	0.2257	0.2823	3.0606	0.7668	0.8564	0.3011	0.1792	0.1918	0.3278	1.2546E-3	0.099	0.156	17.987
118000000	0.3663	1.3018	0.2574	0.2306	3.0551	0.7888	0.8844	0.2946	0.1764	0.1970	0.3320	9.8079E-4	0.061	0.156	21.341
119000000	0.3423	1.2521	0.2722	0.2161	2.9471	0.9701	0.8784	0.2965	0.1810	0.1933	0.3293	1.3473E-3	0.087	0.159	16.982
120000000	0.2866	1.0278	0.2177	0.2746	3.1452	1.0481	0.8683	0.3019	0.1781	0.1980	0.3221	1.1693E-3	0.110	0.176	18.539
121000000	0.3083	1.1528	0.2581	0.2583	3.0193	1.0033	0.7804	0.2968	0.1819	0.1972	0.3241	1.4275E-3	0.643	0.182	16.603
122000000	0.3095	1.2479	0.1550	0.2223	3.0919	0.9734	0.8753	0.2999	0.1788	0.1928	0.3286	1.4494E-3	0.693	0.170	15.308
123000000	0.3628	1.2652	0.1966	0.1999	3.0914	0.8840	0.8618	0.2974	0.1826	0.1947	0.3254	1.5458E-3	0.648	0.206	14.120
124000000	0.3015	1.1043	0.2409	0.2576	3.1557	0.9400	0.8571	0.2945	0.1789	0.1968	0.3298	1.6977E-3	0.285	0.161	13.366
125000000	0.2604	1.0827	0.2141	0.2206	3.2452	0.9770	0.8830	0.2991	0.1798	0.1971	0.3241	1.4195E-3	1.150	0.203	15.639
126000000	0.2567	1.3015	0.2301	0.2501	3.1352	0.8265	0.8229	0.2993	0.1789	0.1962	0.3255	1.5519E-3	0.599	0.192	14.188
127000000	0.3213	1.0562	0.2371	0.1685	3.2317	0.9852	0.8566	0.3007	0.1822	0.1959	0.3213	1.3226E-3	0.371	0.175	16.610
128000000	0.2681	1.1538	0.2574	0.3229	3.1656	0.8321	0.8314	0.2978	0.1804	0.1935	0.3283	1.5657E-3	0.179	0.161	15.387
129000000	0.3401	1.3674	0.2095	0.2484	2.9577	0.8770	0.8454	0.2992	0.1775	0.1959	0.3274	1.4857E-3	0.760	0.197	15.499
130000000	0.2650	1.3259	0.1425	0.2195	3.0485	0.9986	0.8321	0.3016	0.1816	0.1963	0.3204	1.3473E-3	0.408	0.166	16.374
131000000	0.3881	1.3842	0.2649	0.2912	2.8755	0.7961	0.8637	0.2961	0.1766	0.1965	0.3308	1.5618E-3	0.528	0.169	15.452
132000000	0.2203	1.3283	0.1838	0.2763	2.9750	1.0163	0.8791	0.2955	0.1833	0.1934	0.3278	1.2129E-3	0.191	0.186	18.290
