state	cp12.kappa	cp3.kappa	cp12.alpha	cp3.alpha	cp12.mu	cp3.mu	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	avian.rate	equine.rate	galliform1.rate	human1.rate	shorebird1.rate	swine1.rate	swine2.rate	swine3.rate	skygrid.precision	rootHeight	treeLength	tmrca(equine1)	tmrca(equine2)	tmrca(galliform1)	tmrca(human1)	tmrca(shorebird1)	tmrca(swine1)	tmrca(swine2)	tmrca(swine3)
143000000	8.408	16.062	0.2199	1.3168	0.4084	2.1833	0.3457	0.2387	0.1912	0.2244	0.3753	0.1960	0.1826	0.2461	2.2867E-3	1.5776E-3	2.7944E-3	1.8862E-3	3.4731E-3	2.5623E-3	2.2277E-3	2.4288E-3	169.258	969.995	4387.343	52.077	64.318	17.735	82.549	45.928	83.673	30.795	14.929
144000000	7.911	16.660	0.2116	1.2959	0.3974	2.2053	0.3603	0.2219	0.1917	0.2261	0.3750	0.1992	0.1771	0.2487	2.1601E-3	1.6981E-3	3.5556E-3	1.7647E-3	2.9315E-3	2.3977E-3	2.2345E-3	2.67E-3	91.686	824.805	4167.665	51.471	64.457	17.924	83.961	50.052	83.948	30.859	14.305
145000000	8.117	16.749	0.2356	1.2523	0.3759	2.2483	0.3440	0.2468	0.1868	0.2224	0.3765	0.1917	0.1861	0.2457	2.154E-3	1.362E-3	3.0789E-3	1.9045E-3	3.0583E-3	2.5159E-3	2.0743E-3	2.8327E-3	23.498	827.157	4143.696	52.042	69.229	18.037	83.553	46.637	82.753	32.047	14.520
146000000	7.977	17.325	0.2314	1.2486	0.4054	2.1891	0.3468	0.2510	0.1796	0.2226	0.3748	0.1903	0.1847	0.2501	2.2072E-3	1.5416E-3	2.8589E-3	1.9035E-3	2.8627E-3	2.4204E-3	2.4609E-3	2.4103E-3	20.914	861.690	4240.387	50.874	65.783	17.628	81.994	47.724	83.739	31.239	15.011
147000000	7.545	16.949	0.2234	1.2811	0.3805	2.2390	0.3444	0.2473	0.1811	0.2272	0.3744	0.1976	0.1837	0.2443	2.1804E-3	1.7047E-3	3.5476E-3	1.7655E-3	3.0681E-3	2.625E-3	2.5209E-3	2.3272E-3	173.335	1082.317	4695.964	51.694	66.112	17.683	84.708	48.871	83.674	30.784	15.444
148000000	7.877	16.721	0.2446	1.2755	0.4077	2.1846	0.3417	0.2306	0.1944	0.2332	0.3756	0.1959	0.1835	0.2451	2.1788E-3	1.3981E-3	2.8916E-3	1.7349E-3	2.9296E-3	2.5801E-3	2.4872E-3	2.572E-3	56.015	829.623	4218.759	52.835	68.586	18.096	83.958	47.061	83.011	30.995	13.962
149000000	8.631	16.261	0.2340	1.2498	0.3939	2.2122	0.3532	0.2477	0.1744	0.2246	0.3774	0.1934	0.1832	0.2460	2.2015E-3	1.45E-3	3.2592E-3	1.8561E-3	3.1351E-3	2.6284E-3	2.4478E-3	2.2412E-3	84.252	912.228	4349.862	51.308	68.355	17.443	81.777	48.945	83.446	31.312	15.488
150000000	8.330	16.274	0.2165	1.3027	0.3906	2.2187	0.3458	0.2618	0.1844	0.2080	0.3753	0.1944	0.1830	0.2472	2.2019E-3	1.5958E-3	3.0144E-3	1.8783E-3	3.5115E-3	2.4231E-3	2.4794E-3	2.4727E-3	47.054	726.315	3928.686	51.235	65.267	17.657	82.060	47.853	83.530	31.818	14.732
151000000	8.758	16.037	0.2216	1.2838	0.4087	2.1826	0.3532	0.2595	0.1795	0.2078	0.3819	0.1925	0.1804	0.2452	2.1678E-3	1.5744E-3	2.5753E-3	1.7624E-3	3.131E-3	2.3401E-3	2.3623E-3	2.5227E-3	313.210	916.203	4323.336	51.477	67.634	17.537	83.013	48.135	84.503	31.208	14.499
152000000	8.407	17.144	0.2116	1.2201	0.4437	2.1126	0.3481	0.2461	0.1868	0.2191	0.3787	0.1955	0.1790	0.2469	2.1403E-3	1.4056E-3	3.1574E-3	1.7115E-3	3.2888E-3	2.4296E-3	2.31E-3	2.1658E-3	37.088	947.369	4443.676	53.710	66.606	18.232	82.795	49.744	84.343	31.534	15.269
153000000	8.014	16.620	0.2114	1.2651	0.3936	2.2127	0.3462	0.2499	0.1953	0.2087	0.3832	0.1857	0.1882	0.2429	2.2323E-3	1.3287E-3	2.9937E-3	1.8416E-3	3.2657E-3	2.5541E-3	2.42E-3	2.0015E-3	102.524	899.448	4286.760	53.272	65.549	17.661	82.335	47.818	83.673	31.923	15.546
154000000	7.519	17.106	0.2285	1.1383	0.3857	2.2286	0.3475	0.2429	0.1868	0.2228	0.3723	0.1892	0.1837	0.2548	2.1642E-3	1.5214E-3	3.025E-3	1.8362E-3	3.0538E-3	2.61E-3	2.2354E-3	2.5863E-3	44.463	865.806	4216.589	51.923	64.828	17.877	81.585	49.803	82.907	31.613	14.203
155000000	8.511	16.338	0.2235	1.2202	0.4174	2.1652	0.3645	0.2406	0.1838	0.2111	0.3768	0.2016	0.1797	0.2419	2.129E-3	1.603E-3	2.53E-3	1.8215E-3	3.0701E-3	2.1106E-3	2.2955E-3	2.2898E-3	88.847	987.246	4471.697	49.853	68.229	18.319	82.888	48.831	83.451	31.456	15.421
156000000	8.310	15.895	0.2192	1.2304	0.3814	2.2372	0.3524	0.2449	0.1782	0.2245	0.3793	0.1950	0.1841	0.2416	2.1971E-3	1.3645E-3	3.253E-3	1.7081E-3	2.9205E-3	2.536E-3	2.3088E-3	2.0704E-3	35.722	1088.154	4673.763	51.717	67.455	17.308	82.386	48.281	83.964	31.909	15.175
157000000	8.585	16.714	0.2476	1.2197	0.3894	2.2211	0.3450	0.2677	0.1719	0.2154	0.3768	0.1961	0.1788	0.2483	2.1742E-3	1.7437E-3	3.7607E-3	1.7867E-3	3.2491E-3	2.4284E-3	2.5446E-3	2.3135E-3	38.562	792.292	4107.242	51.561	65.089	17.561	83.768	48.252	84.075	31.116	14.909
158000000	8.106	15.291	0.2111	1.2746	0.4053	2.1895	0.3486	0.2298	0.2033	0.2182	0.3704	0.2039	0.1788	0.2470	2.2276E-3	1.4867E-3	2.5337E-3	1.8187E-3	2.9484E-3	2.4047E-3	2.2034E-3	2.3444E-3	58.367	947.453	4315.126	50.703	62.362	18.040	82.008	48.532	83.057	31.838	15.530
159000000	7.656	16.263	0.2351	1.3267	0.3688	2.2623	0.3359	0.2480	0.1943	0.2219	0.3815	0.1915	0.1830	0.2440	2.0957E-3	1.3434E-3	2.6132E-3	1.617E-3	3.0347E-3	2.3736E-3	2.315E-3	2.8857E-3	69.124	838.030	4226.701	52.382	65.756	18.705	84.099	47.646	85.342	31.502	13.916
160000000	9.000	16.606	0.2449	1.2097	0.3884	2.2232	0.3569	0.2427	0.1812	0.2191	0.3844	0.1927	0.1787	0.2441	2.166E-3	1.5664E-3	2.3773E-3	1.9074E-3	3.2804E-3	2.7544E-3	2.8094E-3	2.5564E-3	47.645	767.524	4038.032	51.360	65.829	18.866	82.799	46.957	83.751	30.813	14.525
161000000	7.798	16.484	0.2164	1.1670	0.3811	2.2377	0.3527	0.2331	0.1875	0.2267	0.3742	0.1975	0.1791	0.2491	2.1753E-3	1.4121E-3	3.0063E-3	1.7344E-3	2.9438E-3	2.5919E-3	2.7337E-3	3.0365E-3	13.811	901.046	4314.945	53.452	68.357	17.911	82.168	49.013	83.420	31.680	13.853
162000000	7.745	15.738	0.2342	1.2555	0.4076	2.1849	0.3444	0.2333	0.1953	0.2270	0.3851	0.1930	0.1777	0.2443	2.2592E-3	1.5421E-3	3.4146E-3	1.8697E-3	3.191E-3	2.3409E-3	2.6203E-3	2.8436E-3	28.313	973.927	4383.833	50.926	66.809	17.750	82.940	48.546	83.417	31.569	14.240
163000000	8.123	16.206	0.2272	1.2915	0.3753	2.2495	0.3569	0.2397	0.1869	0.2165	0.3768	0.1949	0.1757	0.2527	2.1832E-3	1.547E-3	3.4791E-3	1.7897E-3	2.944E-3	2.3784E-3	2.6219E-3	2.6522E-3	30.582	850.690	4177.809	50.872	68.277	17.728	82.445	50.784	84.553	31.375	14.291
