state	cp12.kappa	cp3.kappa	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	cp12.mu	cp3.mu	clock.rate	constant.popSize	rootHeight	treeLength
121000000	6.002	11.904	0.3268	0.1893	0.2477	0.2363	0.4029	0.1667	0.1226	0.3078	0.5008	1.9984	2.6473E-3	23.101	14.905	911.553
122000000	6.008	12.744	0.3328	0.1876	0.2496	0.2301	0.3894	0.1718	0.1318	0.3070	0.5091	1.9819	2.7587E-3	21.349	16.495	900.261
123000000	5.694	11.723	0.3228	0.1929	0.2317	0.2527	0.3975	0.1772	0.1353	0.2899	0.4893	2.0213	2.7286E-3	20.715	16.578	888.650
124000000	5.743	11.986	0.3160	0.1891	0.2450	0.2499	0.3963	0.1753	0.1266	0.3017	0.5031	1.9938	2.7712E-3	23.580	16.792	917.284
125000000	6.141	12.536	0.3332	0.1956	0.2281	0.2430	0.4063	0.1831	0.1263	0.2843	0.5110	1.9779	2.9123E-3	20.960	16.622	869.028
126000000	5.467	12.389	0.3145	0.2048	0.2518	0.2288	0.4031	0.1625	0.1286	0.3058	0.5380	1.9239	2.8065E-3	22.384	15.521	893.376
127000000	5.422	11.493	0.3046	0.2105	0.2422	0.2426	0.4011	0.1658	0.1361	0.2969	0.5179	1.9642	2.8068E-3	21.111	16.598	879.009
128000000	6.054	11.509	0.3292	0.1798	0.2438	0.2472	0.3987	0.1700	0.1347	0.2966	0.5100	1.9800	2.5493E-3	22.426	16.799	915.134
129000000	5.463	11.933	0.3181	0.2021	0.2433	0.2366	0.4053	0.1594	0.1319	0.3034	0.5113	1.9773	2.6258E-3	21.948	16.304	911.091
130000000	5.670	12.811	0.3158	0.1997	0.2402	0.2444	0.4010	0.1664	0.1280	0.3046	0.4979	2.0043	2.689E-3	21.644	16.926	888.158
131000000	4.771	12.958	0.3143	0.2065	0.2310	0.2482	0.3850	0.1815	0.1246	0.3089	0.5110	1.9781	2.6808E-3	23.203	16.955	908.938
132000000	5.619	12.422	0.3039	0.1926	0.2511	0.2524	0.4049	0.1701	0.1308	0.2941	0.5032	1.9937	2.6161E-3	24.524	15.547	924.586
133000000	5.612	12.129	0.3334	0.1803	0.2506	0.2357	0.4082	0.1654	0.1224	0.3040	0.5508	1.8983	2.5962E-3	24.258	18.351	946.926
134000000	5.389	12.683	0.3253	0.1933	0.2315	0.2499	0.3903	0.1745	0.1309	0.3043	0.5175	1.9650	2.6157E-3	23.119	16.606	921.191
135000000	5.502	12.180	0.3120	0.1987	0.2428	0.2465	0.4008	0.1615	0.1371	0.3006	0.4944	2.0112	2.5997E-3	24.415	16.100	943.301
136000000	6.284	12.381	0.3130	0.1856	0.2429	0.2585	0.3772	0.1845	0.1277	0.3106	0.5163	1.9674	2.7032E-3	22.894	16.110	909.546
137000000	5.681	11.946	0.3097	0.1972	0.2508	0.2423	0.3776	0.1741	0.1340	0.3143	0.4972	2.0056	2.735E-3	22.279	16.636	899.667
138000000	6.528	12.566	0.3078	0.1911	0.2580	0.2430	0.3850	0.1786	0.1335	0.3030	0.5013	1.9973	2.8748E-3	22.098	16.025	892.305
139000000	5.960	12.447	0.3308	0.1831	0.2368	0.2493	0.3891	0.1801	0.1273	0.3035	0.5161	1.9679	2.6892E-3	22.036	16.247	908.067
140000000	5.433	11.869	0.3181	0.1863	0.2615	0.2341	0.3908	0.1741	0.1278	0.3074	0.5297	1.9406	2.6784E-3	23.062	16.231	924.910
141000000	5.719	12.255	0.3185	0.1954	0.2373	0.2487	0.3952	0.1693	0.1354	0.3001	0.5230	1.9539	2.7663E-3	22.843	16.320	907.469
142000000	5.896	10.778	0.3146	0.1926	0.2475	0.2453	0.3760	0.1640	0.1396	0.3204	0.5073	1.9854	2.7238E-3	21.186	16.120	882.170
143000000	5.514	12.150	0.3085	0.1906	0.2476	0.2533	0.4016	0.1758	0.1318	0.2909	0.5015	1.9969	2.709E-3	23.127	15.750	921.397
144000000	5.109	11.294	0.3194	0.1897	0.2408	0.2501	0.3844	0.1685	0.1381	0.3090	0.4987	2.0027	2.7025E-3	22.141	16.423	917.536
145000000	5.881	13.280	0.3291	0.1779	0.2415	0.2515	0.3898	0.1665	0.1309	0.3128	0.5025	1.9950	2.5998E-3	25.885	16.982	946.631
146000000	5.361	13.450	0.3107	0.2065	0.2388	0.2440	0.3794	0.1743	0.1380	0.3083	0.5163	1.9674	2.7512E-3	22.839	16.671	907.872
147000000	5.521	12.117	0.3053	0.2156	0.2325	0.2466	0.3958	0.1715	0.1336	0.2991	0.4951	2.0099	2.7201E-3	23.176	18.023	922.637
148000000	5.669	11.382	0.3389	0.1987	0.2376	0.2248	0.3995	0.1845	0.1267	0.2893	0.5003	1.9993	2.6394E-3	25.431	16.155	957.783
149000000	5.713	12.820	0.3133	0.1977	0.2516	0.2374	0.4121	0.1617	0.1232	0.3030	0.5066	1.9867	2.5881E-3	25.479	17.079	954.303
150000000	5.804	11.938	0.3168	0.1862	0.2340	0.2630	0.3957	0.1806	0.1218	0.3019	0.5168	1.9665	2.6034E-3	23.578	16.209	936.570
151000000	5.979	12.806	0.3116	0.1960	0.2380	0.2544	0.4001	0.1685	0.1285	0.3029	0.5099	1.9803	2.7571E-3	21.944	16.359	906.470
152000000	5.290	11.786	0.3334	0.1872	0.2448	0.2346	0.3898	0.1786	0.1253	0.3064	0.4993	2.0014	2.5903E-3	23.153	16.701	928.390
153000000	6.501	12.129	0.2999	0.2129	0.2486	0.2385	0.3966	0.1755	0.1234	0.3046	0.5122	1.9756	2.6098E-3	22.366	16.323	921.027
154000000	5.590	12.539	0.3141	0.1978	0.2543	0.2338	0.3918	0.1634	0.1276	0.3172	0.4990	2.0021	2.6061E-3	24.215	16.207	944.883
155000000	6.084	10.936	0.3249	0.1865	0.2452	0.2434	0.4094	0.1687	0.1355	0.2864	0.4957	2.0087	2.6224E-3	23.407	16.534	943.269
156000000	6.527	11.656	0.3111	0.1954	0.2493	0.2442	0.3849	0.1800	0.1274	0.3077	0.5064	1.9873	2.5423E-3	24.136	15.871	935.577
157000000	6.461	12.117	0.3096	0.1919	0.2466	0.2518	0.3898	0.1567	0.1403	0.3133	0.5285	1.9431	2.5854E-3	24.354	15.797	962.128
158000000	5.716	12.695	0.3173	0.1832	0.2500	0.2495	0.4149	0.1577	0.1217	0.3057	0.5315	1.9370	2.4977E-3	22.871	17.495	924.783
159000000	6.060	11.922	0.3021	0.2055	0.2338	0.2587	0.4141	0.1642	0.1250	0.2967	0.5316	1.9368	2.5762E-3	23.841	16.655	938.245
160000000	5.504	10.522	0.3428	0.1894	0.2368	0.2310	0.3993	0.1655	0.1256	0.3096	0.5313	1.9373	2.5848E-3	24.935	16.640	972.132
161000000	5.951	12.264	0.3281	0.1848	0.2489	0.2381	0.3915	0.1815	0.1403	0.2867	0.5011	1.9977	2.6712E-3	24.251	17.415	940.424
162000000	5.818	11.319	0.3236	0.1930	0.2438	0.2396	0.4042	0.1615	0.1214	0.3129	0.5143	1.9713	2.5787E-3	23.574	17.839	946.759
