state	posterior	prior	likelihood	coalescent
472000000	-37616.674	-8376.001	-29240.673	-8365.250
473000000	-37703.369	-8450.926	-29252.443	-8440.306
474000000	-37554.047	-8340.399	-29213.647	-8329.626
475000000	-37682.813	-8475.692	-29207.121	-8465.006
476000000	-37606.676	-8369.312	-29237.364	-8358.661
477000000	-37567.632	-8373.416	-29194.215	-8362.916
478000000	-37583.704	-8331.815	-29251.889	-8321.334
479000000	-37529.464	-8300.044	-29229.421	-8289.508
480000000	-37620.167	-8400.917	-29219.249	-8390.139
481000000	-37626.317	-8378.136	-29248.182	-8367.519
482000000	-37545.750	-8364.512	-29181.238	-8353.743
483000000	-37712.381	-8405.212	-29307.169	-8394.404
484000000	-37498.515	-8216.552	-29281.963	-8205.759
485000000	-37581.919	-8320.391	-29261.528	-8309.764
486000000	-37590.490	-8365.981	-29224.509	-8355.501
487000000	-37673.431	-8462.869	-29210.563	-8452.210
488000000	-37659.678	-8440.500	-29219.177	-8430.018
489000000	-37495.928	-8261.031	-29234.897	-8250.637
490000000	-37504.951	-8290.170	-29214.780	-8279.404
491000000	-37620.236	-8362.912	-29257.325	-8352.301
492000000	-37497.627	-8310.742	-29186.886	-8299.952
493000000	-37553.315	-8318.745	-29234.570	-8308.115
494000000	-37648.225	-8438.466	-29209.759	-8427.711
495000000	-37700.425	-8375.410	-29325.015	-8364.941
496000000	-37665.151	-8382.129	-29283.023	-8371.547
